brands;name;description;Photo;price;vintage;RP;Url
Baccarat;Декантер Chateau Baccarat;Лаконичная форма графина Chateau Baccarat вдохновлена декантерами, которые используют в своей работе профессиональные сомелье. Такая форма позволяет насытить вино кислородом, раскрыть его ароматику и смягчить танины. Благодаря широкому основанию и узкому горлышку декантера ароматы вина концентрируются в чаше, вино становится насыщеннее и многослойнее. Этот декантер из коллекции Шато Баккара удовлетворит запрос самого требовательного любителя вина. Его стильная и изящная форма будет уместно смотреться на любом мероприятии.;https://static.tildacdn.com/tild3733-3838-4735-b462-333633316334/Chateau-Baccarat-dec.jpg;75650.00;;;https://winetime.moscow/chateau-baccarat-decanter
Baccarat;Набор из 4-х бокалов Degustation Chateau Baccarat;Набор из 4-х бокалов Degustation Chateau Baccarat<br />Дизайн бокалов коллекции Château Baccarat Dégustation разработан вместе с винным экспертом Бруно Кенью. Объемные чаши создают широкую поверхность для контакта напитков с воздухом, и качественная аэрация происходит прямо в бокале. Идеальные соотношения формы чаш, их изгибов и диаметров срезов обеспечивают гармоничную подачу аромата и сглаживают спиртуозность напитков.;https://static.tildacdn.com/tild6361-6233-4265-a332-303937363261/baccarat-3.jpg;43000.00;;;https://winetime.moscow/degustation-chateau-baccarat-4
Baccarat;Бокал Romanee Conti Degustation;Бокал назван в честь легендарного бургундского винодельческого дома Domaine de la Romanee Conti, производящего самые изысканные и дорогие красные вина в мире.;https://static.tildacdn.com/tild6464-3132-4535-b038-346439653861/Romanee-Conti-Degust.jpg;53300.00;;;https://winetime.moscow/romanee-conti-degustation
Baccarat;Набор Degustation из 2-х бокалов для бордо;Набор из двух бокалов “Бордо” из коллекции “Dégustation” от Baccarat. Разработанный специально для профессиональной оценки вина, бокал получил форму яйца. Объемная овальная чаша с мягким изгибом и достаточно широким срезом обеспечивает подачу аромата пышных, полнотельных танинных вин в оптимальной концентрации. Идеально подойдет не только для бордоских блендов (каберне совиньон, мерло, каберне фран), но и для концентрированных красных вин на основе каберне совиньона, темпранильо, санджовезе (прежде всего брунелло).;https://static.tildacdn.com/tild6165-3362-4139-b935-333764663762/Degustation-Bordeaux.jpg;46400.00;;;https://winetime.moscow/degustation-glass
Baccarat;Декантер для молодого вина Oenologie;Декантер Oenologie - великолепно исполненное хрустальное произведение, но прежде всего это полезный инструмент для любителя вина. Об этом напоминает простой функциональный дизайн, вдохновленный формой сосудов, которые используют в энологических лабораториях. Горлышко декантера венчает лаконичный стоппер.;https://static.tildacdn.com/tild3836-3732-4164-b465-383338333839/Degustation-Chateau-.jpg;94550.00;;;https://winetime.moscow/decanter-oenologie
Baccarat;Декантер JCB, Baccarat;Графин идеально подойдет для снятия вин с осадка. Качественные вина, предназначенные для долгой бутылочной выдержки, накапливают осадок. Больше всего - красные вина из бордоских сортов (каберне совиньон, мерло, каберне фран) и из сира, чуть меньше - бургундские пино нуары. В дорогих долгоживущих белых винах также можно встретить осадок.;https://static.tildacdn.com/tild3732-3633-4535-b936-623730356238/JCB-3.jpg;118500.00;;;https://winetime.moscow/passion-baccarat-carafe
Baccarat;Декантер для шампанского Baccarat Passion JCB;Многие любители игристых и шампанских вин обходят стороной декантеры, поскольку они выводят из вина драгоценные пузырьки. На самом деле обилие пузырьков в бутылке заглушает ароматику и вкус вина. Декантер удалит из вина часть пузырьков, смягчит его и сделает аромат и вкус объемнее и доступнее.;https://static.tildacdn.com/tild3839-6230-4866-b431-306532323434/JCB-2.jpg;132500.00;;;https://winetime.moscow/baccarat-champagne-decanter
Lalique;Набор из 2-х универсальных фужеров «100 Points»;Универсальные бокалы из коллекции 100 Points от Lalique подходят для любого типа вина. Идеальное решение для тех, кто любит проводить дегустации с участием большого числа самых разных вин. Высокая чаша с широким округлым основанием, спокойным изгибом и пропорционально узким срезом качественно раскроет и свежее белое вино, и шампанское, и насыщенное красное. Все бокалы 100 Points отличает изысканный дизайн ножки: тонкая матовая гравировка дарит держащему бокал дополнительное тактильное удовольствие. На изготовление одного бокала уходит 5 дней, над его созданием трудятся от 15 до 20 человек.;https://static.tildacdn.com/tild6163-3533-4430-b231-643836633161/100-Points-U-Glass-1.jpg;46800.00;;;https://winetime.moscow/lalique-glasses-1
Lalique;Набор из 2-х бокалов для вина Burgundy «100 Points»;Бокалы “Бургундия” из коллекции 100 Points от Lalique обладают крупной высокой чашей. Широкое округлое основание обеспечивает необходимый контакт вина с кислородом. Зауженная к срезу чаша обеспечивает правильную подачу даже тончайших нюансов ароматики без лишней спиртуозности. Бокалы идеальны для пино нуаров, но также подойдут для вин из неббиоло, в частности для бароло и барбареско, и барберы. По задумке Джеймса Саклинга, дегустатор должен получать удовольствие от самого бокала, просто держа его в руке. Для этого на ножку бокала нанесена “бархатная” матовая гравировка. Благодаря ей бокал очень приятно держать в руке.;https://static.tildacdn.com/tild6361-3536-4063-b331-393064623438/100-Points-BU-Glass-.jpg;49950.00;;;https://winetime.moscow/lalique-glasses-burgundy
Lalique;Графин для вина «100 Points»;Небольшой лаконичный декантер с матовой гравировкой из коллекции 100 Points от Lalique. Эффектный и функциональный, он будет уместно смотреться как на столе, сервированном к торжественному мероприятию, так и на винной дегустации. Хорошо подойдет для снятия с осадка выдержанных красных вин классического стиля из каберне совиньон, мерло, каберне фран, сира, а также зрелых бургун;https://static.tildacdn.com/tild3830-3935-4535-b738-356530643261/100-Points-BU-A-2.jpg;193500.00;;;https://winetime.moscow/decanter-lalique-100-points
Lalique;Держатель для 3-х пробок «100 Points»;Держатель из матового хрусталя для трех винных пробок из коллекции 100 Points от Lalique. Незаменимый аксессуар на винной дегустации: пробки эффектно смотрятся, не теряются на столе и не пачкают поверхность.;https://static.tildacdn.com/tild3664-3337-4463-a635-306535353564/lalique-3.jpg;29950.00;;;https://winetime.moscow/lalique-100-points-2
Lalique;Декантер Merlot;Держатель из матового хрусталя для трех винных пробок из коллекции 100 Points от Lalique. Незаменимый аксессуар на винной дегустации: пробки эффектно смотрятся, не теряются на столе и не пачкают поверхность.;https://static.tildacdn.com/tild6536-3363-4432-b634-376235383465/MERLOT-DECANTER-2.jpg;399500.00;;;https://winetime.moscow/decanter-lalique-merlot
M. Chapoutier;M. Chapoutier, Ermitage «Le Pavillon» 2005, 750 ml;"Эрмитаж Ле Павильон 2005 - мое любимое из вин Шапутье в этом винтаже. Оно рождается на одном из величайших виноградников сира в мире - на крутом гранитном склоне Ле Бессар! У этого сногсшибательного, великолепного вина классический аромат копченого мяса, древесного угля, пепла, мокрого камня, шоколада и черносмородинового ликера. Текстура плотная, маслянистая, очень концентрированная. Вино меняется в бокале, впечатляя чистейшими экзотическими ароматами и гладкими танинами. Нет более совершенного сира! Сегодня оно очень молодо, но его текстура, чистота и баланс уже доставляют большое наслаждение. Уверен, оно и в 50-летнем возрасте сохранит отличную форму.#nbsp;<br /><em>Wine Advocate, 2016</em>";https://static.tildacdn.com/tild6631-6232-4466-a461-336532366535/256000-x-4000.jpg;87000.00;2005;;https://winetime.moscow/ermitage-le-pavillon-2005
Gaja;Gaja Conteisa 2009, 750 ml;"Контейса 2009 раскрывается сначала цветочными нотами (роза и фиалка) а затем появляются ноты вишни, черносмородинового ликера, мяты, лакрицы, смолы, имбиря и кедра. Сложность, многослойность этого вина сбивает с ног! Текстура обманчиво мягкая - танины еще очень сильны.#nbsp;#nbsp;<br /><em>Wine Advocate, 2013</em>";https://static.tildacdn.com/tild3436-6235-4734-b733-366638353037/456000_x_4000.jpg;46088.00;2009;96;https://winetime.moscow/gaja-conteisa-2009
Gaja;Gaja Conteisa 2010, 750 ml;"Контейса 2010 ошеломляет своей элегантностью, воспринятой, конечно же, от винтажа. Аромат выразительный и глубокий, он последовательно раскрывается цветочными нотами, черносмородиновым ликером, специями для выпечки, анисовым ликером и табаком. Танины сладкие и уже довольно мягкие. Выбор коллекционера!#nbsp;<br /><em>Wine Advocate, 2014</em>";https://static.tildacdn.com/tild6532-3630-4663-a365-313436663066/436000_x_4000.jpg;46088.00;2010;97;https://winetime.moscow/gaja-conteisa-2010
Gaja;Gaja Conteisa 2015, 750 ml;Бароло Контейса 2015 - очень насыщенное вино с ароматом сливы, чернослива, пряных трав, мяты и вишни. Очень сбалансированное бароло. Виноградник Череквио, где выращивают виноград для Контейса, больше других страдает от капризов погоды - губительные осадки, особенно град, приходят сюда с располагающегося по соседству холма Ла Морра. В августе 2015 град сильно потрепал лозы, но достаточная часть урожая, к счастью, уцелела.<br /><em>Wine Advocate, 2019</em>;https://static.tildacdn.com/tild6266-6365-4064-a630-633165616436/446000-x-4000.jpg;43000.00;2015;96;https://winetime.moscow/gaja-conteisa-barolo-2015
Gaja;Gaja Sperss 1996, Langhe Nebbiolo DOC, 750 ml/1500 ml;"Впечатляющее бароло Сперсс 1996 обладает непрозрачным рубиново-фиолетовым цветом и супернасыщенным ароматом черешни, смолы, цветов и белого трюфеля. Очень полнотельное, мощное и чистое, массивное бароло с большим количеством танинов и двумя-тремя десятками лет в запасе.#nbsp;<br /><em>Wine Advocate, 1999</em>";https://static.tildacdn.com/tild6135-3064-4033-b638-656339643763/376000-x-4000.jpg https://static.tildacdn.com/tild6233-3033-4533-a266-386164636133/426000-x-4000.jpg;;1996;;https://winetime.moscow/gaja-sperss-1996
Biondi-Santi;Biondi-Santi Brunello di Montalcino Annata 1995, 750 ml;Ручной сбор, ферментация в цементных чанах с контролем температуры в течение 15-18 дней. Используются только природные дрожжи. Выдержка в больших нейтральных бочках из славонского дуба в течение 36 месяцев. После розлива бутылки хранятся еще не менее 4 месяцев.;https://static.tildacdn.com/tild3937-3935-4134-b662-616335666361/796000-x-4000.jpg;43900.00;1995;;https://winetime.moscow/biondi-santi-annata-1995
Biondi-Santi;Biondi-Santi Brunello di Montalcino Annata 2001, 750 ml;"У брунелло ди Монтальчино Анната 2001 насыщенный красный цвет. Достаточно терпкое и склонное к развитию скорее не фруктовых ароматов, а ароматов третьего ряда. Среднетельное, хорошо структурированное брунелло с плотным, сдержанным ароматом красных фруктов, лакрицы и ментола и устойчивым вкусом. Несколько часов в декантере помогли ему раскрыться.<br /><em>Wine Advocate, 2006</em><span class=""ql-cursor"">﻿</span>";https://static.tildacdn.com/tild3466-6466-4566-a263-666538306264/806000-x-4000.jpg;43900.00;2001;;https://winetime.moscow/biondi-santi-annata-2001
Biondi-Santi;Biondi-Santi Brunello di Montalcino Annata 2004, 750 ml;"Бьонди Санти Брунелло ди Монтальчино 2004 интригует. Танины уже шелковистые, элегантные. В бокале раскрывается яркий аромат темных фруктов. Это среднетельное брунелло нуждается в многолетней бутылочной выдержке, и все говорит о том, что в итоге оно успешно раскроется. Этот 2004 - не блокбастер, а деликатное, утонченное вино. Это одно из самых элегантных вин в Монтальчино в этом винтаже.#nbsp;<br /><em>Wine Advocate, 2009 </em>";https://static.tildacdn.com/tild6538-6163-4932-a435-343737666232/DSC_0384-2.jpg;39000.00;2004;90;https://winetime.moscow/biondi-santi-annata-2004
Biondi-Santi;Biondi-Santi Brunello di Montalcino Annata 2009, 750 ml;"Брунелло ди Монтальчино Анната 2009 - очаровательное вино, в аромате - бальзамические ноты, лакрица, кола, темные фрукты, подлесок. Кислотность заметная, но она хорошо сочетается с богатой текстурой вина. Послевкусие долгое и поначалу ровное, но в конце появляется поразительно мощная цветочная нота. Это отличное вино проживет еще много лет.#nbsp;<br /><em>Wine Advocate, 2014 </em>";https://static.tildacdn.com/tild6361-6162-4961-a665-313834376232/846000-x-4000.jpg;32000.00;2009;93;https://winetime.moscow/biondi-santi-annata-2009
Biondi-Santi;Biondi-Santi Brunello di Montalcino Annata 2011, 750 ml;;https://static.tildacdn.com/tild3566-6163-4136-a239-386630616335/876000-x-4000.jpg;34000.00;2013;96;https://winetime.moscow/biondi-santi-annata-2011
Petrolo;Petrolo Galatrona 2016 DOC, 750ml;Галатрона 2016 - подлинный шедевр виноделия. Глубокий, плотный, но многослойной, насыщенный аромат: темный шоколад, слива, пряности, табак, вспаханная земля, белый трюфель. Это сочное, полнотельное мерло с мягкой текстурой и устойчивым насыщенным вкусом. Я годами наблюдаю за эволюцией Галатрона и часто сравниваю эти вина на вертикальных дегустациях. Этот винтаж пока что мой фаворит.<br /><em>Wine Advocate, 2019</em>;https://static.tildacdn.com/tild6338-3963-4335-b136-353135623861/486000-x-4000.jpg;33735.00;2016;98;https://winetime.moscow/petrolo-galatrona-2016
Luce;Luce 1997, 1500 ml;Санджовезе и мерло винифицируются отдельно, смешиваются перед розливом в бочки на выдержку. Ферментация: 12 дней. Мацерация: 4 недели. Выдержка занимает 18 месяцев: сначала 12 месяцев во французских дубовых барриках (66% новых), а затем еще 6 месяцев в больших славонских бочках. Выпущено 100 тысяч бутылок.;https://static.tildacdn.com/tild3532-6666-4265-a238-623162663237/526000-x-4000.jpg;77000.00;1997;;https://winetime.moscow/luce-1997-magnum
Luce;Luce 2001, 1500 ml;У Люче 2001 насыщенный фиолетовый цвет и свежий, элегантный аромат: спелые фрукты, вишня, лесные ягоды, шоколад. Богатая текстура, хорошо интегрированные танины, превосходный баланс. Вкус устойчивый, динамичное послевкусие с минеральной нотой.;https://static.tildacdn.com/tild6261-3434-4032-b662-363637643336/DSC_0336-2.jpg;69130.00;2001;;https://winetime.moscow/luce-2001-2
Luce;Luce 2008, 3000 ml;У Люче 2008 насыщенный фиолетово-красный цвет и изысканный аромат: ежевика, вишня, эвкалипт, специи, графит, темный шоколад, табачный лист. Полнотельное вино, хорошо сбалансированное. Устойчивый вкус, долгое послевкусие.;https://static.tildacdn.com/tild3231-3532-4765-a637-383337316237/516000-x-4000.jpg;110370.00;2008;;https://winetime.moscow/luce-2008
IL Poggione;Brunello di Montalcino IL Poggione 2012, 750 ml;Ручной сбор. Ферментация на природных дрожжах в течение 15-20 дней в цистернах из нержавеющей стали при контролируемой температуре 25-28 градусов. Малолактическая ферментация в цистернах из нержавеющей стали. Выдержка в больших бочках (3-5 тысяч литров) из французского дуба в течение 3 лет.;https://static.tildacdn.com/tild3264-3230-4538-b065-643237343336/906000-x-4000.jpg;9500.00;2012;95;https://winetime.moscow/il-poggione-2012
IL Poggione;Brunello di Montalcino IL Poggione 2014, 750 ml;"Репутация у вин Иль Поджоне одна из самых завидных во всем апелласьоне, особенно в плане качества и потенциала хранения. Этот брунелло ди Монтальчино 2014 заметно отличается от остальных вин своей линейки. Оно элегантное, изящное и лаконичное, и я бы предположила чуть менее длинное плато зрелости для этого вина, около 10 лет. Вино прекрасное и точно входит в топ моих любимых вин в этом винтаже. Букет ароматов достаточно плотный: голубика, слива, красная роза, вишневое варенье. Лаконичность объясняется условиями винтажа, но этому вину есть чем привлечь внимание. Я вернулась к нему спустя несколько дней после откупоривания, и вино все еще было в отличной форме.#nbsp;<br /><em>Wine Advocate, 2019</em><br /><br />";https://static.tildacdn.com/tild3333-3431-4230-a138-653431653231/916000-x-4000.jpg;8700.00;2014;94;https://winetime.moscow/il-poggione-2014
IL Poggione;Brunello di Montalcino IL Poggione 2015, 750 ml;"У брунелло ди Монтальчино 2015 от Иль Поджоне более темный и насыщенный цвет, чем у вин-ровесников. Это вино очень изобильное, пышное и выразительное. В аромате - засахаренная вишня, влажная земля, табак, дым. Благодаря уникальному расположению участка у Иль Поджоне получаются немного более концентрированные и мощные брунелло, чем у других хозяйств апелласьона Монтальчино. Особенно это заметно в превосходном 2015-м винтаже. Вино получилось полнотельным, с очень привлекательной сухой минеральной ноткой в послевкусии. Его также отличают заметные молодые танины, которым необходимо несколько лет, чтобы смягчиться.#nbsp;<br /><em>Wine Advocate, 2020</em>";https://static.tildacdn.com/tild3962-6636-4262-a265-353266313862/896000-x-4000.jpg;9500.00;2015;97;https://winetime.moscow/il-poggione-2015
Vietti;Vietti Barolo Castiglione 2016, 750 ml;У Вьетти Бароло Кастильоне 2016 массивный и оригинальный аромат: мята, бальзамическая трава, вспаханная земля. Фруктовые ноты скрыты под ними, но со временем они выступят также ярко. Обычно Кастильоне - это самое быстро развивающееся бароло от Вьетти, но не в этот раз. Этот винтаж демонстрирует особенно высокий уровень насыщенности, сложности и свежести. Шелковистые танины в ментоловом обрамлении. Очаровательное вино.<br /><em>Wine Advocate, 2020</em>;https://static.tildacdn.com/tild3837-3534-4466-a232-343436623937/786000-x-4000.jpg;11500.00;2016;;https://winetime.moscow/vietti-barolo-castiglione-2016
Vietti;Vietti Barolo Lazzarito 1994, 1500 ml;Используется виноград с одного участка Лаццарито. Ру чной сбор. Ферментация в течение 27 дней в стали при контролируемой температуре (30-32 градуса) с ежедневным “погружением шапки” традиционным способом. Малолактическая ферментация в дубе. Выдержка в два этапа: сначала 7 месяцев в барриках из 100% французского дуба, затем 25 месяцев в больших бочках из словенского дуба. Розлив без фильтрации.;https://static.tildacdn.com/tild3961-3832-4331-b663-386365396365/676000-x-4000.jpg;75400.00;1994;;https://winetime.moscow/vietti-barolo-lazzarito-1994
Vietti;Vietti Barolo Lazzarito 2011, 750 ml;"Вьетти Бароло Лаццарито 2011 - эталонное вино и одно из лучших бароло этого сложного винтажа. Бесконечно прекрасный аромат: темные фрукты, лакрица, бальзамическая трава. Виноградник Лаццарито находится в Серралунда д’Альба, его терруар отличают плотные толстые почвы и большая разница дневных и ночных температур. Эти факторы оказывают решающее влияние на качество винограда, когда лето выдается слишком жарким.#nbsp;#nbsp;<br /><em>Wine Advocate, 2015</em>";https://static.tildacdn.com/tild3438-3031-4933-a131-613663646562/686000-x-4000.jpg;33400.00;2011;;https://winetime.moscow/vietti-barolo-lazzarito-2011
Vietti;Vietti Barolo Lazzarito 2015, 750 ml;"Вьетти Бароло Лаццарито 2015 обладает прекрасным цветочным букетом: фиалки, розы, цветок апельсинового дерева. У меня было две бутылки этого Вьетти: одну открыли за несколько часов до дегустации, а вторую прямо перед дегустацией. Эти цветочный ноты - как раз из первой бутылки, где вино успело раскрыться, стать насыщенным и нюансированным. Кроме цветочных ароматов стали заметны ноты темных фруктов и белого перца. Однако, как это часто бывает с винами из Серралунга д’Альба, несмотря на элегантный тонкий букет, это Лаццарито - полнотельное, богато текстурированное, мощное вино. Это парадоксальное сочетание существует в удивительной гармонии и абсолютном равноправии легкости и силы.#nbsp;<br /><em>Wine Advocate, 2019</em>";https://static.tildacdn.com/tild3763-3439-4730-b436-623730383634/706000-x-4000.jpg;39000.00;2015;;https://winetime.moscow/vietti-barolo-lazzarito-2015
Vietti;Vietti Barolo Lazzarito 2016, 750 ml;"Если бы у нас была задача нарисовать это Бароло Лаццарито 2016 от Вьетти, то я бы изобразила его в виде пирамиды. В основании плотный фундамент - спелые фрукты - букет, который позже раскрывается нотами ежевики, сливы, специй, смолы, лакрицы, апельсиновой цедры, земли и трюфеля. Вторая волна ароматов: минералы, железная нота. Вина из Сарралунга д’Альба стоят особняком в семействе бароло благодаря своей насыщенности и фруктовости. С дополнительной аэрацией это Лаццарито начинает выдавать ноты мяты и бальзамической травы. Выпущено 9,293 стандартных бутылки и 300 магнумов.#nbsp;#nbsp;#nbsp;<br /><em>Wine Advocate, 2020 </em>";https://static.tildacdn.com/tild3764-3537-4363-a537-363032353930/716000-x-4000.jpg;39000.00;2016;;https://winetime.moscow/vietti-barolo-lazzarito-2016
Vietti;Vietti Barolo Ravera 2010, 750 ml;"Великолепное, полное жизни Бароло Равера 2010 от Вьетти. Мягкое и гибкое, оно демонстрирует всю многогранность неббиоло. Виноградник Равера известен в первую очередь тем, что местный неббиоло - это прямое, чистейшее воплощение главного сорта Пьемонта. Цветочные ноты фиалки и розы, трюфель, вишня и мята. Суперзвезда винтажа с большим потенциалом хранения.#nbsp;<br /><em>Wine Advocate, 2014</em>";https://static.tildacdn.com/tild3732-3733-4730-a262-353037666164/746000-x-4000.jpg;77770.00;2010;;https://winetime.moscow/vietti-barolo-ravera-2010
Vietti;Vietti Barolo Ravera 2014, 750 ml;Вино с виноградника Равера я узнаю мгновенно! У него свой характерный аромат - сочетание вишневого ликера и горького шоколада. Его вы найдете и в этом Бароло Равера 2014 от Вьетти. Но это вино гораздо сложнее: к названным выше добавляются ноты бальзамической травы, минералов, железа и даже - не удивляйтесь - анчоусов! Вино просто прекрасное!<br /><em>Wine Advocate, 2018 </em>;https://static.tildacdn.com/tild3564-6264-4366-b038-613030633138/766000-x-4000.jpg;37000.00;2014;;https://winetime.moscow/vietti-barolo-ravera-2014
Vietti;Vietti Barolo Ravera 2015, 750 ml;"Бароло Равера 2015 от Вьетти поначалу выглядит закрытым, но через несколько часов после откупоривания вино преображается. Вина Вьетти развиваются достаточно медленно, и эту особенность следует иметь ввиду. готовясь к дегустации. Вина с виноградника Равера отличает мощь, структура и экспансивная текстура. В аромате - много темных фруктов, минералы, соленая нота. Эластичная текстура, гладкие танины.#nbsp;#nbsp;<br /><em>Wine Advocate, 2019</em>";https://static.tildacdn.com/tild6561-3837-4834-b131-346136303233/776000-x-4000.jpg;39000.00;2015;;https://winetime.moscow/vietti-barolo-ravera-2015
Casanova di Neri;Brunello di Montalcino Casanova di Neri 2013, 750 ml;"Это смелый и#nbsp;выразительный Брунелло. Он#nbsp;выдает плотно переплетенные ароматы вишни Морелло, специй, кожи и#nbsp;бальзамической травы#nbsp;— составные блоки самых прекрасных Брунелло, которые приходят на#nbsp;ум. Стиль дома Казанова ди#nbsp;Нери подразумевает современный и#nbsp;изысканный подход. Но#nbsp;внутренний дух и#nbsp;текстура Санджовезе настолько тонки и#nbsp;выверены в#nbsp;своем естественном состоянии, что этот подход едва#nbsp;ли имеет значение.<br /><em>Wine advocate 2018</em>";https://static.tildacdn.com/tild6330-6361-4531-a366-633538316135/926000-x-4000.jpg;10500.00;2013;;https://winetime.moscow/casanova-di-neri-2013-2
Casanova di Neri;Brunello di Montalcino Casanova di Neri 2015, 750 ml;В этом классическом винтаже семье Нери удалось создать классическое воплощение санджовезе, оставаясь при этом верными стилю своего дома. В ароматах их вин обычно можно встретить сливу, гвоздику, инжир, ягоды и цветочные лепестки - то, что мы и ожидаем от традиционалистов. Этому брунелло понадобится немало времени, чтобы раскрыться, поэтому я рекомендую переливать его в декантер. Это брунелло ди Монтальчино 2015 от Казанова ди Нери выдает как раз то, что ожидаешь услышать в этом винтаже: лесные ягоды, лакрица, фиалка, бальзамическая трава. Если от аромата хочется все-таки чего-то большего, то вкус и текстура - это абсолютный успех!<br /><em>Wine Advocate, 2020</em>;https://static.tildacdn.com/tild3235-3138-4431-a334-626463383537/936000-x-4000.jpg;10500.00;2015;94;https://winetime.moscow/casanova-di-neri-2015
Casanova di Neri;Casanova di Neri «Tenuta Nuova» 2013, Brunello di Montalcino, 750 ml;Брунелло ди Монтальчино Тенута Нуова 2013 от Казанова ди Нери - юбилейный 20-й винтаж этой линейки, запущенной в 1993 году: об этом говорит памятная этикетка. Чистое воплощение брунелло: плотный аромат вишни, специй, кожи и бальзамической травы - все, что мы так любим в брунелло. Текстура гладкая и элегантная.<br /><em>Wine Advocate, 2018</em>;https://static.tildacdn.com/tild3632-6633-4363-a331-653038666231/946000-x-4000.jpg;25090.00;2013;;https://winetime.moscow/casanova-di-neri-tn-2013
Casanova di Neri;Casanova di Neri «Tenuta Nuova» 2015, Brunello di Montalcino, 750 ml;"Джакомо Нери и его семье удалось создать вино, которое впечатляет с первого глотка (особенно, если ему дали достаточно времени в декантере, чтобы раскрыться). Брунелло ди Монтальчино Тенута Нуова 2015 обладает ароматом ежевики, сливы, вишни, специй, кожи и бальзамической травы. Эти ноты - фирменные знаки вин ди Нери - плавно перетекают друг в друга, устойчивость и насыщенность вина при этом сохраняется. С дополнительной декантацией появляется заметная минеральная нота. Букет яркий и мощный, но не приторный. Текстура гибкая и мягкая. Я пробовала это вино несколько раз в течение 24 часов.#nbsp;<br /><em>Wine Advocate, 2020</em>";https://static.tildacdn.com/tild3434-3834-4230-b764-363935656662/956000-x-4000.jpg;25090.00;2015;98;https://winetime.moscow/casanova-di-neri-tn-2015
Bonnes Mares;Bonnes Mares Grand Cru Domaine Louis Jadot 2012, 750 ml;"Аромат Бон Мар 2012 от Луи Жадо раскрывается медленно: темные фрукты, чернила, индийские специи. Вино хорошо сбалансировано, с яркой кислотностью. Послевкусие долгое и структурированное. Полагаю, это вино будет хорошо стареть, ну а пока, в первое десятилетие своей жизни, оно будет скорее впечатлять, чем дарить наслаждение.#nbsp;<br /><em>Wine Advocate, 2013</em>";https://static.tildacdn.com/tild3361-6666-4866-a662-633633323131/146000-x-4000.jpg;74000.00;2009;;https://winetime.moscow/bonnes-mares-2012
Jacques Prieur;Domaine Jacques Prieur 2014, Musigny Grand Cru, 750 ml;У Мюзиньи 2014 от Жак Приер глубокий темно-красный цвет. Аромат очень изысканный, цветочно-минеральный. Вино среднетельное с заметными танинами, чуть зернистой текстурой, очень гармоничное и элегантное - одно из лучших в винтаже, выдающееся Мюзиньи.<br /><em>Wine Advocate, 2015</em>;https://static.tildacdn.com/tild6238-6536-4334-b631-333337656238/226000-x-4000.jpg;188500.00;2014;;https://winetime.moscow/jacques-prieur-2014
Giacomo Conterno;Barolo Cascina Francia Giacomo Conterno 2004, 750 ml;;https://static.tildacdn.com/tild3736-3737-4533-a536-363765336264/conterno-1-1.jpg;79000.00;2003;94;https://winetime.moscow/cascina-francia-2004
Giacomo Conterno;Barolo Cascina Francia Giacomo Conterno 2009, 1500 ml;"Бароло Кашина Франча 2009 очень повезло, поскольку флагман Контерно - Монфортино - в этом году не производилось, и тот виноград, который обычно идет на это самое знаменитое в мире бароло Ризерва, в этот раз попал в бленд Кашина Франча. Я пробовала это вино два года назад из бочки, и его эволюция просто впечатляет! Утонченно насыщенное, устойчивое, с ароматом темных фруктов, лакрицы, смолы и сухих розовых лепестков. Сезон был жарким, и это отразилось на текстуре вина: она обильная и округлая. Бесспорно, у него большой потенциал хранения.<br /><em>Wine Advocate, 2015#nbsp; </em>";https://static.tildacdn.com/tild3035-6532-4866-b934-313131353162/626000-x-4000.jpg;126000.00;2009;96;https://winetime.moscow/cascina-francia-2009
Giacomo Conterno;Barolo Cascina Francia Giacomo Conterno 2011, 1500 ml;Ферментация и мацерация в течение 3-4 недель при контролируемой температуре 30 градусов. Выдержка по традиционной технологии: 4 года в огромных дубовых ботти объемом от 2 до 7,5 тысяч литров.;https://static.tildacdn.com/tild3335-3832-4534-a537-613462396537/646000-x-4000.jpg;110000.00;2011;;https://winetime.moscow/barolo-francia-2011
Giacomo Conterno;Barolo Cascina Francia Giacomo Conterno 2012, 750 ml;;https://static.tildacdn.com/tild3736-3737-4533-a536-363765336264/conterno-1-1.jpg;52000.00;2003;94;https://winetime.moscow/barolo-francia-2012
Giacomo Conterno;Barolo Cascina Francia Giacomo Conterno 2016, 750 ml;"Династия виноделов Контерно была известна в Пьемонте еще в 18 веке. Сегодня хозяйством управляет Роберто Контерно -#nbsp; он перенял традиции изготовления лучшего в мире бароло от своего отца Джованни и деда Джакомо, чье имя носит винодельня. Главное для Роберто - сохранение уникального, ни с чем не сравнимого стиля бароло от Контерно. Он говорит: “Пусть лучше говорят “я знаю это вино, и оно мне не нравится”, чем “ мне нравится, но я не могу понять, что это за вино”.";https://static.tildacdn.com/tild3436-3839-4839-b964-366562336333/666000-x-4000.jpg;68000.00;2016;;https://winetime.moscow/barolo-francia-2016
Paolo Scavino;Paolo Scavino 2013, Barolo (DOCG), 1500ml;"Бароло 2013 от Паоло Скавино обладает фирменной глубиной и элегантностью дома Скавино. В аромате - темные фрукты, сушеная черная смородина, специи, лакрица, смола. Вино демонстрирует многослойность одновременно с сортовой чистотой, воплощая лучшие черты неббиоло.#nbsp;<br /><em>Wine Advocate, 2017</em>";https://static.tildacdn.com/tild3462-6565-4839-a438-313136306235/506000_x_4000.jpg;26208.00;2013;;https://winetime.moscow/paolo-scavino-2013
